Event,Type,Net,Length,Maturity,Board number,Comment,Dorsal,Lateral,,,,,,,,,Col5,Bin,Frequency,Col8
105,RMT8,1,33,J,2,,JR291_Event105_Net1_Board2_Dorsal.jpg,JR291_Event105_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,38,FS1,2,,JR291_Event105_Net1_Board2_Dorsal.jpg,JR291_Event105_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,30,J,2,,JR291_Event105_Net1_Board2_Dorsal.jpg,JR291_Event105_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,31,J,2,,JR291_Event105_Net1_Board2_Dorsal.jpg,JR291_Event105_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,36,J,2,,JR291_Event105_Net1_Board2_Dorsal.jpg,JR291_Event105_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,41,MS1,2,,JR291_Event105_Net1_Board2_Dorsal.jpg,JR291_Event105_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,37,J,2,,JR291_Event105_Net1_Board2_Dorsal.jpg,JR291_Event105_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,38,J,2,,JR291_Event105_Net1_Board2_Dorsal.jpg,JR291_Event105_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,39,J,2,,JR291_Event105_Net1_Board2_Dorsal.jpg,JR291_Event105_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,39,J,2,,JR291_Event105_Net1_Board2_Dorsal.jpg,JR291_Event105_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,36,J,2,,JR291_Event105_Net1_Board2_Dorsal.jpg,JR291_Event105_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,34,J,3,,JR291_Event105_Net1_Board3_Dorsal.jpg,JR291_Event105_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,38,J,3,,JR291_Event105_Net1_Board3_Dorsal.jpg,JR291_Event105_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,34,J,3,,JR291_Event105_Net1_Board3_Dorsal.jpg,JR291_Event105_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,34,J,3,,JR291_Event105_Net1_Board3_Dorsal.jpg,JR291_Event105_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,41,FS1,3,,JR291_Event105_Net1_Board3_Dorsal.jpg,JR291_Event105_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,31,J,3,,JR291_Event105_Net1_Board3_Dorsal.jpg,JR291_Event105_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,33,J,3,,JR291_Event105_Net1_Board3_Dorsal.jpg,JR291_Event105_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,30,J,3,,JR291_Event105_Net1_Board3_Dorsal.jpg,JR291_Event105_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,36,J,3,,JR291_Event105_Net1_Board3_Dorsal.jpg,JR291_Event105_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,36,J,3,,JR291_Event105_Net1_Board3_Dorsal.jpg,JR291_Event105_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,39,J,3,,JR291_Event105_Net1_Board3_Dorsal.jpg,JR291_Event105_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
105,RMT8,1,34,J,3,,JR291_Event105_Net1_Board3_Dorsal.jpg,JR291_Event105_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
